Date;20783 - Average spread of new credit operations - Total - p.p.;20784 - Average spread of new credit operations - Non-financial corporations - Total - p.p.;20785 - Average spread of new credit operations - Households - Total - p.p.;27631 - Average spread of new non-revolving credit operations - Total - p.p.;27632 - Average spread of new non-revolving credit operations - Non-financial corporations - Total - p.p.;27633 - Average spread of new non-revolving credit operations - Households - Total - p.p.
03/2011;17.95 ;10.40 ;26.46 ;11.70 ;6.80 ;17.70
04/2011;18.55 ;10.92 ;27.13 ;12.10 ;7.30 ;18.00
05/2011;18.49 ;10.93 ;26.98 ;12.20 ;7.30 ;18.20
06/2011;18.27 ;10.70 ;26.76 ;12.10 ;7.20 ;18.20
07/2011;18.26 ;10.60 ;26.78 ;12.10 ;7.10 ;18.20
08/2011;18.06 ;10.44 ;26.50 ;12.10 ;7.00 ;18.20
09/2011;18.49 ;10.74 ;27.17 ;12.30 ;7.40 ;18.20
10/2011;18.96 ;10.73 ;28.08 ;12.30 ;7.30 ;18.40
11/2011;18.39 ;10.40 ;27.23 ;11.90 ;7.00 ;17.90
12/2011;17.44 ;10.01 ;25.38 ;11.50 ;6.70 ;17.20
01/2012;18.48 ;10.98 ;26.40 ;12.40 ;7.60 ;17.90
02/2012;18.87 ;10.98 ;27.15 ;12.60 ;7.50 ;18.40
03/2012;18.67 ;10.81 ;26.93 ;12.20 ;7.40 ;17.60
04/2012;18.44 ;10.64 ;26.68 ;11.80 ;7.20 ;17.10
05/2012;17.19 ;9.68 ;25.09 ;10.90 ;6.30 ;16.00
06/2012;16.56 ;9.02 ;24.49 ;10.10 ;5.80 ;15.00
07/2012;16.33 ;9.06 ;23.94 ;10.40 ;5.90 ;15.60
08/2012;15.90 ;8.96 ;23.13 ;10.30 ;5.90 ;15.30
09/2012;15.73 ;8.62 ;23.19 ;10.30 ;5.60 ;15.60
10/2012;15.36 ;8.31 ;22.73 ;10.10 ;5.30 ;15.60
11/2012;15.15 ;8.41 ;22.18 ;10.00 ;5.50 ;15.20
12/2012;14.13 ;7.52 ;21.12 ;9.50 ;4.80 ;14.90
01/2013;14.65 ;8.46 ;21.12 ;10.10 ;5.70 ;15.00
02/2013;14.78 ;8.33 ;21.49 ;9.90 ;5.50 ;14.90
03/2013;14.39 ;8.14 ;20.86 ;9.60 ;5.30 ;14.30
04/2013;14.29 ;8.07 ;20.68 ;9.50 ;5.30 ;14.20
05/2013;13.93 ;7.70 ;20.30 ;9.20 ;5.00 ;13.90
06/2013;13.49 ;7.45 ;19.62 ;8.90 ;4.80 ;13.30
07/2013;13.82 ;7.69 ;19.99 ;9.30 ;5.10 ;13.80
08/2013;13.69 ;7.69 ;19.70 ;9.10 ;5.10 ;13.50
09/2013;13.68 ;7.63 ;19.80 ;9.20 ;5.10 ;13.60
10/2013;13.97 ;7.64 ;20.35 ;9.40 ;5.10 ;14.20
11/2013;13.92 ;7.70 ;20.16 ;9.30 ;5.20 ;13.70
12/2013;13.44 ;7.49 ;19.49 ;9.00 ;5.10 ;13.40
01/2014;14.17 ;8.21 ;20.17 ;9.60 ;5.70 ;14.00
02/2014;14.93 ;8.33 ;21.51 ;10.00 ;5.80 ;14.70
03/2014;14.92 ;8.24 ;21.63 ;9.90 ;5.50 ;14.60
04/2014;15.01 ;8.47 ;21.54 ;10.20 ;5.80 ;14.90
05/2014;15.17 ;8.60 ;21.71 ;10.20 ;5.80 ;14.90
06/2014;15.25 ;8.33 ;22.11 ;10.20 ;5.50 ;15.20
07/2014;15.51 ;8.72 ;22.21 ;10.50 ;6.00 ;15.40
08/2014;15.36 ;8.44 ;22.20 ;10.30 ;5.70 ;15.20
09/2014;15.06 ;8.42 ;21.59 ;10.10 ;5.70 ;14.70
10/2014;15.43 ;8.44 ;22.25 ;10.20 ;5.70 ;14.90
11/2014;15.32 ;8.25 ;22.20 ;9.90 ;5.50 ;14.50
12/2014;14.76 ;8.06 ;21.31 ;9.50 ;5.30 ;14.10
01/2015;15.90 ;8.84 ;22.69 ;10.30 ;5.90 ;15.00
02/2015;16.53 ;9.22 ;23.54 ;10.60 ;6.10 ;15.20
03/2015;16.31 ;9.02 ;23.28 ;10.10 ;5.70 ;14.70
04/2015;17.00 ;9.42 ;24.21 ;10.80 ;6.10 ;15.60
05/2015;17.32 ;9.42 ;24.80 ;10.70 ;6.00 ;15.50
06/2015;17.73 ;9.68 ;25.35 ;10.80 ;6.20 ;15.60
07/2015;18.35 ;9.99 ;26.16 ;11.20 ;6.50 ;16.10
08/2015;18.62 ;10.18 ;26.50 ;11.30 ;6.60 ;16.10
09/2015;18.52 ;10.11 ;26.38 ;10.80 ;6.30 ;15.30
10/2015;19.16 ;10.33 ;27.34 ;11.20 ;6.30 ;16.20
11/2015;19.42 ;10.48 ;27.64 ;11.00 ;6.30 ;15.60
12/2015;18.48 ;9.67 ;26.65 ;10.40 ;5.70 ;15.10
01/2016;20.09 ;11.34 ;28.09 ;11.30 ;7.10 ;15.50
02/2016;20.87 ;11.79 ;29.10 ;11.80 ;7.40 ;16.20
03/2016;21.61 ;11.89 ;30.29 ;12.30 ;7.40 ;17.20
04/2016;22.33 ;11.81 ;31.57 ;12.70 ;7.20 ;18.00
05/2016;22.68 ;11.85 ;32.09 ;12.90 ;7.30 ;18.30
06/2016;22.54 ;11.85 ;31.76 ;12.90 ;7.40 ;18.00
07/2016;23.02 ;12.43 ;32.01 ;13.30 ;8.00 ;18.20
08/2016;23.24 ;12.49 ;32.25 ;13.30 ;8.10 ;18.20
09/2016;23.46 ;11.88 ;33.10 ;13.20 ;7.40 ;18.50
10/2016;23.96 ;12.31 ;33.58 ;13.60 ;7.70 ;18.90
11/2016;23.62 ;11.65 ;33.42 ;13.10 ;7.10 ;18.50
12/2016;22.67 ;10.93 ;32.23 ;12.80 ;6.70 ;18.20
01/2017;23.94 ;12.54 ;33.02 ;13.90 ;8.30 ;18.80
02/2017;23.87 ;11.81 ;33.35 ;13.70 ;7.50 ;19.10
03/2017;23.83 ;11.96 ;33.08 ;13.40 ;7.50 ;18.50
04/2017;22.22 ;11.44 ;30.57 ;13.10 ;7.50 ;17.90
05/2017;21.44 ;11.45 ;29.08 ;13.20 ;7.40 ;18.10
06/2017;20.89 ;10.96 ;28.40 ;12.70 ;6.90 ;17.50
07/2017;21.26 ;11.52 ;28.58 ;13.40 ;7.50 ;18.30
08/2017;21.05 ;11.46 ;28.09 ;13.30 ;7.50 ;18.10
09/2017;19.99 ;10.56 ;26.87 ;13.10 ;6.80 ;18.10
10/2017;20.58 ;11.34 ;27.26 ;13.60 ;7.50 ;18.40
11/2017;20.01 ;10.89 ;26.51 ;12.90 ;7.00 ;17.50
12/2017;18.83 ;9.90 ;25.19 ;12.10 ;6.20 ;16.80
01/2018;19.71 ;11.15 ;25.88 ;13.10 ;7.50 ;17.60
02/2018;20.36 ;11.23 ;26.88 ;13.40 ;7.50 ;18.10
03/2018;19.93 ;10.19 ;26.86 ;13.00 ;6.50 ;18.10
04/2018;19.56 ;9.62 ;26.63 ;12.70 ;6.00 ;18.10
05/2018;18.46 ;9.27 ;24.97 ;12.10 ;5.70 ;17.10
06/2018;17.68 ;8.54 ;24.14 ;11.50 ;5.10 ;16.40
07/2018;17.69 ;9.02 ;23.82 ;11.90 ;5.60 ;16.90
08/2018;17.58 ;8.84 ;23.70 ;12.00 ;5.40 ;17.00
09/2018;17.26 ;8.70 ;23.29 ;11.60 ;5.30 ;16.40
10/2018;17.88 ;9.21 ;23.89 ;12.30 ;5.80 ;17.30
11/2018;18.08 ;9.17 ;24.16 ;12.30 ;5.70 ;17.40
12/2018;16.94 ;8.23 ;22.96 ;11.50 ;5.00 ;16.50
01/2019;18.54 ;9.68 ;24.60 ;12.70 ;6.20 ;17.70
Source;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT
