Date;20714 - Average interest rate of new credit operations - Total - % p.y.;20715 - Average interest rate of new credit operations - Non-financial corporations - Total - % p.y.;20716 - Average interest rate of new credit operations - Households - Total - % p.y.;27623 - Average interest rate of new non-revolving credit operations - Total - % p.y.;27624 - Average interest rate of new non-revolving credit operations - Non-financial corporations - Total - % p.y.;27625 - Average interest rate of new non-revolving credit operations - Households - Total - % p.y.
03/2011;27.59 ;19.33 ;36.91 ;21.12 ;15.56 ;27.96
04/2011;28.18 ;19.86 ;37.55 ;21.51 ;16.03 ;28.22
05/2011;28.11 ;19.84 ;37.41 ;21.59 ;16.02 ;28.41
06/2011;27.85 ;19.63 ;37.07 ;21.43 ;15.89 ;28.18
07/2011;28.04 ;19.64 ;37.38 ;21.57 ;15.85 ;28.49
08/2011;27.46 ;19.19 ;36.62 ;21.13 ;15.48 ;27.92
09/2011;27.43 ;19.12 ;36.72 ;20.87 ;15.53 ;27.36
10/2011;27.68 ;18.91 ;37.40 ;20.74 ;15.28 ;27.33
11/2011;26.90 ;18.42 ;36.29 ;20.14 ;14.80 ;26.60
12/2011;26.03 ;18.14 ;34.45 ;19.84 ;14.61 ;25.93
01/2012;27.02 ;19.06 ;35.43 ;20.73 ;15.56 ;26.68
02/2012;27.09 ;18.80 ;35.78 ;20.63 ;15.19 ;26.81
03/2012;26.78 ;18.48 ;35.50 ;20.14 ;14.93 ;26.07
04/2012;26.19 ;18.04 ;34.79 ;19.45 ;14.51 ;25.08
05/2012;24.59 ;16.77 ;32.81 ;18.12 ;13.32 ;23.59
06/2012;23.84 ;16.04 ;32.03 ;17.27 ;12.71 ;22.46
07/2012;23.24 ;15.70 ;31.15 ;17.25 ;12.44 ;22.73
08/2012;22.74 ;15.53 ;30.25 ;17.07 ;12.38 ;22.36
09/2012;22.49 ;15.17 ;30.18 ;16.99 ;12.13 ;22.50
10/2012;21.91 ;14.70 ;29.44 ;16.61 ;11.64 ;22.24
11/2012;21.66 ;14.76 ;28.86 ;16.47 ;11.81 ;21.76
12/2012;20.55 ;13.82 ;27.66 ;15.82 ;11.05 ;21.32
01/2013;21.00 ;14.57 ;27.71 ;16.35 ;11.78 ;21.56
02/2013;21.35 ;14.65 ;28.31 ;16.46 ;11.78 ;21.73
03/2013;21.09 ;14.64 ;27.76 ;16.22 ;11.77 ;21.20
04/2013;20.99 ;14.61 ;27.54 ;16.18 ;11.81 ;21.04
05/2013;20.73 ;14.34 ;27.26 ;15.97 ;11.59 ;20.83
06/2013;21.00 ;14.73 ;27.37 ;16.33 ;12.08 ;21.00
07/2013;21.43 ;14.96 ;27.94 ;16.82 ;12.31 ;21.74
08/2013;21.62 ;15.19 ;28.06 ;16.98 ;12.51 ;21.85
09/2013;21.78 ;15.26 ;28.37 ;17.17 ;12.62 ;22.14
10/2013;22.17 ;15.39 ;29.00 ;17.49 ;12.74 ;22.70
11/2013;22.40 ;15.72 ;29.10 ;17.63 ;13.09 ;22.58
12/2013;22.04 ;15.64 ;28.54 ;17.45 ;13.11 ;22.27
01/2014;23.02 ;16.52 ;29.55 ;18.33 ;13.87 ;23.22
02/2014;23.58 ;16.61 ;30.54 ;18.51 ;13.91 ;23.52
03/2014;23.73 ;16.53 ;30.95 ;18.50 ;13.69 ;23.74
04/2014;23.62 ;16.67 ;30.56 ;18.58 ;13.88 ;23.68
05/2014;23.80 ;16.80 ;30.77 ;18.57 ;13.84 ;23.70
06/2014;23.68 ;16.37 ;30.93 ;18.38 ;13.44 ;23.71
07/2014;23.90 ;16.65 ;31.06 ;18.68 ;13.75 ;23.97
08/2014;23.79 ;16.42 ;31.06 ;18.50 ;13.58 ;23.77
09/2014;23.48 ;16.44 ;30.41 ;18.25 ;13.59 ;23.25
10/2014;24.03 ;16.67 ;31.22 ;18.54 ;13.77 ;23.61
11/2014;24.11 ;16.66 ;31.36 ;18.43 ;13.78 ;23.36
12/2014;23.61 ;16.60 ;30.47 ;18.12 ;13.70 ;22.85
01/2015;24.85 ;17.53 ;31.89 ;18.99 ;14.42 ;23.81
02/2015;25.59 ;18.13 ;32.75 ;19.30 ;14.85 ;23.94
03/2015;25.79 ;18.20 ;33.05 ;19.29 ;14.72 ;24.04
04/2015;26.40 ;18.63 ;33.79 ;19.83 ;15.12 ;24.69
05/2015;27.01 ;18.84 ;34.73 ;20.02 ;15.22 ;24.95
06/2015;27.54 ;19.19 ;35.45 ;20.28 ;15.54 ;25.15
07/2015;28.35 ;19.73 ;36.40 ;20.86 ;16.00 ;25.80
08/2015;28.86 ;20.15 ;36.98 ;21.20 ;16.36 ;26.10
09/2015;29.38 ;20.71 ;37.48 ;21.33 ;16.75 ;25.98
10/2015;30.19 ;21.16 ;38.56 ;21.98 ;16.97 ;27.04
11/2015;30.47 ;21.28 ;38.92 ;21.72 ;16.96 ;26.50
12/2015;29.67 ;20.76 ;37.93 ;21.24 ;16.59 ;25.97
01/2016;31.35 ;22.48 ;39.47 ;22.25 ;18.09 ;26.42
02/2016;31.86 ;22.73 ;40.12 ;22.52 ;18.23 ;26.75
03/2016;32.05 ;22.20 ;40.84 ;22.41 ;17.49 ;27.20
04/2016;32.48 ;21.99 ;41.70 ;22.49 ;17.24 ;27.51
05/2016;32.59 ;21.67 ;42.08 ;22.44 ;16.92 ;27.68
06/2016;32.45 ;21.67 ;41.75 ;22.38 ;17.02 ;27.43
07/2016;32.89 ;22.17 ;41.99 ;22.75 ;17.55 ;27.57
08/2016;33.01 ;22.22 ;42.05 ;22.68 ;17.59 ;27.35
09/2016;33.08 ;21.45 ;42.75 ;22.37 ;16.75 ;27.50
10/2016;33.37 ;21.77 ;42.95 ;22.54 ;16.96 ;27.62
11/2016;33.20 ;21.20 ;43.03 ;22.26 ;16.49 ;27.47
12/2016;32.17 ;20.28 ;41.85 ;21.86 ;15.88 ;27.25
01/2017;32.91 ;21.38 ;42.10 ;22.47 ;16.98 ;27.31
02/2017;32.17 ;20.41 ;41.43 ;21.59 ;15.89 ;26.54
03/2017;32.10 ;20.31 ;41.29 ;21.30 ;15.66 ;26.15
04/2017;30.09 ;19.40 ;38.37 ;20.68 ;15.34 ;25.23
05/2017;29.45 ;19.35 ;37.17 ;20.96 ;15.17 ;25.85
06/2017;28.82 ;18.87 ;36.34 ;20.45 ;14.77 ;25.17
07/2017;28.87 ;19.04 ;36.25 ;20.81 ;14.93 ;25.67
08/2017;28.33 ;18.80 ;35.32 ;20.47 ;14.80 ;25.05
09/2017;26.90 ;17.56 ;33.71 ;19.85 ;13.72 ;24.76
10/2017;27.42 ;18.31 ;34.00 ;20.31 ;14.47 ;24.96
11/2017;26.81 ;17.85 ;33.20 ;19.62 ;13.97 ;24.08
12/2017;25.57 ;16.92 ;31.73 ;18.82 ;13.20 ;23.25
01/2018;26.17 ;17.76 ;32.24 ;19.56 ;14.13 ;23.91
02/2018;26.76 ;17.86 ;33.12 ;19.82 ;14.16 ;24.28
03/2018;26.09 ;16.54 ;32.89 ;19.11 ;12.82 ;24.04
04/2018;25.69 ;15.94 ;32.62 ;18.85 ;12.27 ;24.02
05/2018;24.82 ;15.79 ;31.21 ;18.43 ;12.23 ;23.28
06/2018;24.56 ;15.58 ;30.90 ;18.38 ;12.13 ;23.25
07/2018;24.37 ;15.86 ;30.39 ;18.61 ;12.41 ;23.46
08/2018;24.30 ;15.86 ;30.21 ;18.70 ;12.49 ;23.52
09/2018;24.21 ;15.65 ;30.23 ;18.56 ;12.30 ;23.41
10/2018;24.45 ;16.01 ;30.30 ;18.88 ;12.56 ;23.72
11/2018;24.45 ;15.80 ;30.35 ;18.68 ;12.33 ;23.50
12/2018;23.16 ;14.68 ;29.03 ;17.66 ;11.41 ;22.49
01/2019;24.65 ;16.08 ;30.51 ;18.78 ;12.56 ;23.51
Source;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT
